date,CO2,RH,temp,Air temperature,Wind speed (m/s),Solar radiation , Rain,Plug_Basement,Cooling,Exhaust fan,Heating,IT,Lighting,Plug,PV,Control,Hot_Water,Others,ALL_loads
2022/6/1 23:00,429.1439947,42.6938611,21.27862012,14.29416667,1.566666683,1,1,0.032520314,0.001987483,0.0039341,0.031993316,0.641590634,0.002090583,0.031616614,-0.097569997,0.200744129,0.000228667,0.210627863,1.059763706
2022/6/2 0:00,420.2005502,42.62378465,20.89315067,14.24083333,0.938095242,1,1,0.076300408,0.0019903,0.0039472,0.032087066,0.642027677,0.002107817,0.03115093,-0.098665759,0.202884112,0.000550783,0.211894312,1.106274846
2022/6/2 1:00,416.8558835,42.41955542,20.80018924,13.95,0.677272728,1,1,0.076469607,0.001984017,0.003978117,0.032097182,0.641570115,0.002122033,0.032616097,-0.099239984,0.201204565,0.00093505,0.212221529,1.105958328
2022/6/2 2:00,417.5723284,42.02311806,21.35756395,13.84916667,0.605263162,1,1,0.081945024,0.001998085,0.003986983,0.032155999,0.639458662,0.003639627,0.03154015,-0.100495524,0.202529302,0.001028458,0.213152585,1.110939351
2022/6/2 3:00,421.9503293,41.60139595,21.69675966,14.03833333,1.143137254,1,1,0.070755791,0.002000233,0.003985967,0.032201782,0.644129035,0.002134867,0.032879898,-0.101989745,0.199116449,0.332134203,0.213082479,1.430430959
2022/6/2 4:00,429.4658857,41.67316678,21.84844025,14.04083333,0.916216222,1,1,0.083724773,0.002001883,0.003976717,0.031987066,0.641673353,0.003770133,0.032192848,-0.09961472,0.199047911,0.001029317,0.212039546,1.111828827
2022/6/2 5:00,435.1452196,41.77413187,21.96376523,12.91083333,0.80714286,3.583333333,1,0.073800024,0.001987,0.003950833,0.032067282,0.642953995,0.00509505,0.032697882,-0.098183414,0.198595765,0.000250517,0.211216579,1.104431513
2022/6/2 6:00,437.7735528,41.8846945,22.04931655,13.0975,0.779999998,12.58333333,1,0.070312025,0.00200475,0.003926883,0.031984766,0.642173902,0.00594375,0.03232338,-0.096741622,0.198946496,0.000343417,0.210422728,1.101640475
2022/6/2 7:00,443.954886,42.03462505,22.11463469,13.34,0.591666671,58.5,1,0.034914563,0.00201345,0.003928367,0.031993032,0.642760132,0.0021045,0.032184947,-0.082779833,0.198830194,0.000227583,0.210834229,1.077011164
2022/6/2 8:00,448.1738859,42.04145838,22.20450966,14.68666667,1.150000009,154.5833333,1,0.076081275,0.00197065,0.003904533,0.031897733,0.64075499,0.003137633,0.032554914,1.680961704,0.199601797,0.000320417,0.21036793,2.881553576
2022/6/2 9:00,455.8596644,41.92986116,22.32768337,18.42833333,1.263333329,307.5833333,1,0.081735174,0.002003217,0.003911017,0.031993033,0.659477396,0.002109767,0.07960681,3.772498556,0.199330631,0.000137833,0.210425329,5.043228763
2022/6/2 10:00,466.3518877,41.76645843,22.44940008,20.30083333,1.285294123,394.6666667,1,0.080914641,0.00199775,0.003907283,0.031860849,0.674254567,0.003673083,0.120457872,4.620869948,0.19867783,0.246404271,0.209531279,6.192549373
2022/6/2 11:00,485.8671097,41.59734043,22.59150427,20.52083333,0.988888888,313.5,1,0.078427857,0.001996383,0.003860733,0.031864149,0.674005825,0.002761333,0.122321721,4.022321785,0.199411831,0.0008982,0.208211481,5.346081298
2022/6/2 12:00,503.4466663,41.71575001,22.67339581,18.56333333,0.930000003,241.25,1,0.080598991,0.002004783,0.003869633,0.031821716,0.669981251,0.002086667,0.10675829,2.979166935,0.199658599,0,0.206425046,4.282371911
2022/6/2 13:00,498.7541107,42.0435835,22.70877768,17.7875,1.051724148,195.4166667,1,0.132076532,0.0020034,0.00385725,0.031802682,0.672174586,0.002422133,0.06133351,2.319602164,0.199403665,0,0.206463096,3.631139018
2022/6/2 14:00,511.721334,42.16837503,22.77383052,17.565,1.193939393,215.25,1,0.08496334,0.002003167,0.003902133,0.031913583,0.671400654,0.002102117,0.124788305,2.64596618,0.198224698,0,0.207815179,3.973079356
2022/6/2 15:00,492.1750004,42.38470839,22.79920276,17.61916667,1.073076927,185.0833333,1,0.101663607,0.00199755,0.003893117,0.031844532,0.674271883,0.0033898,0.111970886,2.237372802,0.198133848,0.323379509,0.207527179,3.895444713
2022/6/2 16:00,500.019667,42.25179862,22.8248264,16.54166667,0.734615386,170.4166667,1,0.195523234,0.002009417,0.003902,0.032004382,0.671789176,0.048713048,0.112567621,2.042232818,0.198239064,0,0.208103063,3.515083823
2022/6/2 17:00,501.7120005,42.46086802,22.80547083,15.60833333,0.666666669,116.5833333,1,0.11767519,0.002016117,0.0039158,0.031854566,0.673158906,0.023028266,0.032105697,1.329253579,0.199094946,0.000211533,0.208780847,2.621095447
2022/6/2 18:00,481.7206668,42.54849309,22.8104889,14.49333333,0.50555556,67.66666667,1,0.079233524,0.00202775,0.003890733,0.031818365,0.675814058,0.002091667,0.032051481,0.668986243,0.19928625,0.000371383,0.208195046,1.9037665
2022/6/2 19:00,465.4208888,42.51569433,22.80577081,13.94666667,0.200000005,23.66666667,1,0.07539754,0.001988667,0.003846517,0.031776599,0.656838293,0.012753799,0.034672547,0.052329185,0.19866478,0,0.206613047,1.274880974
