time,L1_CO2,L2_CO2,L3_CO2,L0_CO2,L1_RH,L2_RH,L3_RH,L0_RH,L1_temp,L2_temp,L3_temp,L0_temp,"Air temperature (gund, กษ)","Weather data, Wind speed (m/s)","Solar radiation (gund, W/m^2)",Plug_Basement,Cooling,Exhaust fan,Heating,IT,Lighting,Plug1,Plug2,Plug3,PV_meter1_load (kW),PV_meter2_load (kW),Control,Hot_Water,Others,ALL
2022/6/1 0:00,415.8439976,421.9346594,420.9022174,404.955993,45.79583302,43.44733318,38.65811096,49.07166679,20.84496668,22.06154153,24.11149995,21.69853334,12.57666667,0.033333334,1,0.190117419,0.002000883,0.003973333,0.032113932,0.641152225,0.00211325,0.010119216,0.015921065,0.002585533,-0.050127176,-0.048380231,0.200768827,0.0010442,0.212732181,1.216134657
2022/6/1 1:00,414.7839967,444.2493272,425.2426624,404.4773265,45.86600013,43.44466674,38.69288892,49.34516671,20.62179993,22.03600001,24.07033327,21.35773338,12.97583333,0.033333334,1,0.198711584,0.002010067,0.003989333,0.032084399,0.642254624,0.0046298,0.010598149,0.015136349,0.00258535,-0.049361715,-0.05053612,0.201539256,0.001162467,0.213430545,1.228234088
2022/6/1 2:00,417.4839963,469.287993,425.0382185,406.9466601,44.51950008,44.66833299,38.73388901,47.56116654,21.1741,21.94974995,23.96244445,21.93996668,13.33083333,0.033333334,1,0.163461202,0.00198975,0.003988133,0.032065098,0.643048588,0.002124767,0.010018533,0.016115232,0.002590417,-0.048622469,-0.047862252,0.203425849,0.001154217,0.213293312,1.196790377
2022/6/1 3:00,429.4066647,452.7519939,421.5199953,421.9959991,43.67300018,44.07391663,38.87088875,46.00450018,21.79186664,21.61608335,23.70200001,22.61113331,13.64833333,0.050000001,1,0.173353116,0.002002783,0.003969767,0.032097283,0.641590784,0.00360045,0.010201783,0.015397965,0.002576317,-0.048963256,-0.050321162,0.199361917,0.000599467,0.212063245,1.197530459
2022/6/1 4:00,437.1306656,408.0759936,422.7359967,449.0240007,43.12433325,41.82983351,38.19533352,45.90866682,22.04660002,21.75016668,23.87233341,22.86273335,13.83666667,0.050000001,1,0.197124787,0.001997417,0.003942217,0.031968116,0.641031043,0.0037453,0.010075249,0.015662032,0.002554267,-0.048784998,-0.049283072,0.198859827,0.000231333,0.21041033,1.219533848
2022/6/1 5:00,441.0599984,410.3759917,423.5911062,438.7266656,43.28600052,42.56266659,38.24411115,46.18441664,21.97193336,21.88099997,23.79299994,22.59886662,13.9575,0.115384618,7.083333333,0.197167568,0.001982917,0.003909733,0.0319391,0.642469137,0.005226167,0.010146066,0.015075749,0.002541683,-0.048554312,-0.048302654,0.198472514,0.000114667,0.209384962,1.221573297
2022/6/1 6:00,437.0173323,438.5199937,424.2577733,411.8879965,43.69750026,42.51674995,38.24788869,46.90833335,21.69166679,22.07174979,23.6713332,22.14466665,14.38666667,0.246666673,40.16666667,0.195977436,0.001989883,0.0038629,0.031812482,0.642107306,0.003163717,0.010483283,0.015945582,0.00253025,-0.049089086,-0.048999957,0.198255761,0,0.208096679,1.216136236
2022/6/1 7:00,434.5586644,443.6773275,425.912885,412.1453298,43.312333,41.84599997,38.14588922,46.25650009,21.61366685,22.10633324,23.60566673,21.99733341,15.0125,0.290000004,60.16666667,0.194840737,0.0019991,0.003858433,0.031840666,0.639483469,0.00208005,0.010123699,0.015461349,0.00252955,0.098146711,0.098256814,0.198486948,0,0.207951914,1.50505944
2022/6/1 8:00,439.135999,433.3786593,428.6026625,445.6679999,42.52708338,41.12475009,37.82522166,45.00099998,21.93286683,21.93325005,23.65788904,22.53880004,16.955,0.290909097,149.25,0.193686819,0.0019885,0.00383035,0.031761582,0.63951097,0.002057,0.009970599,0.015351949,0.002512967,0.794353988,0.787265613,0.198283682,0,0.206303861,2.88687788
2022/6/1 9:00,447.1826654,429.0319931,428.7519953,470.4680017,42.58875009,40.74341663,37.6949998,45.21916679,22.0970002,22.10825003,23.65755523,22.81353341,17.52416667,0.370000006,181.75,0.198581834,0.001992433,0.003873417,0.031847648,0.653692613,0.003978617,0.056444145,0.015462999,0.002539633,1.059769545,1.061090747,0.199977146,0,0.208299746,3.497550523
2022/6/1 10:00,471.1506669,477.0386642,442.4764435,494.4200008,42.6009998,41.2595835,37.68533321,45.16783317,22.15760008,22.4504999,23.6824443,23.02799987,18.62333333,1.016216214,296.4166667,0.1814533,0.001939217,0.003911617,0.031865016,0.67069211,0.002053283,0.160718265,0.015012049,0.00252475,1.837744764,1.823971736,0.198339663,0,0.209268344,5.139494114
2022/6/1 11:00,491.792001,447.9773324,453.0257775,508.0333331,42.06500001,40.90175004,37.69211125,45.30508332,22.54673339,22.70050005,23.7928889,23.16260005,19.77,1.068000007,329.1666667,0.155349902,0.00207515,0.003902867,0.031816016,0.6696936,0.004891767,0.160558863,0.015214965,0.002520617,2.087761982,2.078031212,0.198481197,0,0.208249395,5.618547533
2022/6/1 12:00,521.702666,490.0613341,485.546666,521.6986678,42.20050019,41.28441666,37.72477765,45.56233311,22.69146669,22.85183345,23.94533336,23.21640018,18.17666667,0.900000013,239.3333333,0.201863352,0.00196635,0.003864333,0.031749466,0.67112355,0.003001133,0.149572447,0.090735961,0.0025232,1.454296271,1.443024073,0.199629666,0,0.207842646,4.461192448
